Occupant Number,Occupancy 1,Occupancy 2,Survey Time,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,OUTDOOR Ambient Temp.,OUTDOOR Relative Humidity,OUTDOOR Air Velocity,Metabolic Rate (last 15 mins.),Metabolic Rate (last 1 hour),Clothing Level (+ Chair),Min. Accept. Sensation (right now),Max. Accept. Sensation (right now),Gender,Age,Office Type,Floor Number,Location on Floor Plan,Min. Accept. Sensation (summer),Min. Accept. Sensation (winter),Med. Accept. Sensation (summer),Med. Accept. Sensation (winter),Max. Accept. Sensation (summer),Max. Accept. Sensation (winter),Discomfort Location: HEAD,Discomfort Location: CHEST,Discomfort Location: BACK,Discomfort Location: PELVIS,Discomfort Location: ARMS ,Discomfort Location: HANDS,Discomfort Location: LEGS,Discomfort Location: FEET,Discomfort Location: ALL OVER,Thermal Sensation Movement (recently),"Relative ""Busyness"" (recently)",Relative Productivity (recently),General Satisfaction w/ Amount of Space,General Satisfaction w/ Privacy,General Thermal Comfort,General Satisfaction w/ Perceived Control,Fan/Heater Class,State of Fan/Heater,Current Thermostat COOLING Setpoint,Base Thermostat COOLING Setpoint,Current Thermostat HEATING Setpoint,Base Thermostat HEATING Setpoint,Clothing Change (recently),Clothing Change UP (recently),Clothing Change DOWN (recently),Net Clothing Change (recently),Drinking Beverage?,Action on WINDOW (recently),Action on DOOR (recently),Action on BLINDS (recently),Action on LOCAL FAN (recently),Action on LOCAL HEATER (recently),Action on THERMOSTAT (recently),CLOTHING availability,DRINKS availability,LOCAL HEATER availability,LOCAL FAN availability,THERMOSTAT availability,WINDOW availability,DOOR availability,BLINDS availability,CLOTHING effectiveness,DRINKS effectiveness,LOCAL HEATER effectiveness,LOCAL FAN effectiveness,THERMOSTAT effectiveness,WINDOW effectiveness,DOOR effectiveness,BLINDS effectiveness,Reported Discomfort to Management,Chooses set point that maximizes PRODUCTIVITY,Chooses set point that maximized COMFORT/PLEASURE,Wishes set point to stay at setting they choose,Chooses set point that is most agreeable to OTHERS,Chooses set point that is most ENERGY EFFICIENT,Chooses set point most in line with MGMT policies,Choooses set point most TYPICAL of office setting,comfort
1,1,1,1,23.72,61.79,0.03,28,66,4.47,1.1,1.6,0.32,-2.5,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,23.02,25.56,25.24,24.44,99,99,99,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.98,58.67,0.03,30,46,4.02,1.1,1.46,0.62,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,23.02,25.56,25.24,24.44,1,1,0,0.32,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,0
1,1,1,3,24.07,54.12,0.03,32,38,5.81,1.1,1.05,0.62,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,2,4,4,2,2,2,0,23.02,25.56,25.24,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.29,49.11,0.03,27,51,1.34,1.1,1.6,0.54,-2,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,23.02,25.56,25.24,24.44,99,99,99,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.55,48.59,0.03,28,48,1.34,1.1,1.05,0.44,-2,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,23.02,25.56,25.24,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,23.81,48.6,0.03,29,51,2.24,1.1,1.05,0.44,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,2,4,4,2,2,2,0,23.58,25.56,25.24,24.44,1,0,1,-0.25,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.55,57.74,0.03,27,79,2.68,1.1,1.6,0.41,-2.5,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,23.58,25.56,25.24,24.44,99,99,99,0,4,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.98,55.62,0.03,31,43,2.68,1.1,1,0.66,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,23.58,25.56,25.24,24.44,1,1,0,0.25,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,24.07,53.04,0.03,30,46,2.68,1.1,1.05,0.66,-1,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,23.58,25.56,25.24,24.44,1,1,0,0.25,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.38,59.72,0.03,28,70,1.34,1.1,1.6,0.41,-2.5,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,0
