TEXT FILE COLUMN,CATEGORY,NAME,DATA COLLECTION SOURCE,TYPE,DESCRIPTION,UNITS (if applicable),CATEGORIES (if applicable)
1,GENERAL,Time,--,Discrete,Absolute time (MATLAB),--,--
2,GENERAL,Occupant Number,--,Discrete,Number of occupant in field study,--,--
3,GENERAL,Occupancy 1,Daily/2 Week Surveys,Discrete,Expected occupancy state for whole study,--,1 = Occupied ; 0 = Not Occupied
4,GENERAL,Occupancy 2,Daily/2 Week Surveys,Discrete,Expected occupancy state for daily surveying period only,--,1 = Occupied ; 0 = Not Occupied
5,GENERAL,Survey Time,Daily Surveys,Discrete,Time of day of survey response (if there is one @ time step),--,1 = Morning Survey ; 2 = Late Morning Survey ; 3 = Afternoon Survey
6,ENVIRONMENT,INDOOR Ambient Temp.,HOBO datalogger,Continuous,Logged either via HOBO U12 @ desk or nearby thermostat,ºC,--
7,ENVIRONMENT,INDOOR Relative Humidity,HOBO datalogger,Continuous,Logged via HOBO U12 @ desk,%,--
8,ENVIRONMENT,INDOOR Air Velocity,HOBO datalogger,Continuous,Logged via HOBO U12 + T-DCI-F900-S-O air velocity sensor,m/s,--
9,ENVIRONMENT,INDOOR Mean Radiant Temp.,HOBO datalogger,Continuous,Logged via HOBO U12 + thermocouple in 40 mm black matte ping pong ball ,ºC,--
10,ENVIRONMENT,INDOOR Lumens,HOBO datalogger,Continuous,Logged via HOBO U12,lumens/m2 *REGENERATE,--
11,ENVIRONMENT,INDOOR CO2,HOBO datalogger,Continuous,Logged via HOBO Telair 7001 sensor,ppm,--
12,ENVIRONMENT,OUTDOOR Ambient Temp.,Weather Analytics,Continuous,"Downloaded from Weather Analytics, Center City PHL grid point",ºC,--
13,ENVIRONMENT,OUTDOOR Relative Humidity,Weather Analytics,Continuous,"Downloaded from Weather Analytics, Center City PHL grid point",%,--
14,ENVIRONMENT,OUTDOOR Air Velocity,Weather Analytics,Continuous,"Downloaded from Weather Analytics, Center City PHL grid point",m/s,--
15,PERSONAL CHARACTERISTICS,Metabolic Rate (last 15 mins.),Daily Surveys,Continuous,"Weighted average of reported activities, based on ASH Std-55 ",MET,--
16,PERSONAL CHARACTERISTICS,Metabolic Rate (last 1 hour),Daily Surveys,Continuous,"Weighted average of reported activities, based on ASH Std-55",MET,--
17,PERSONAL CHARACTERISTICS,Clothing Level,Daily Surveys,Continuous,Based on ASH Std-55 Clo values + ISO 7730 clo values where needed,CLO,--
18,PERSONAL CHARACTERISTICS,Clothing Level (+ Chair),Daily Surveys,Continuous,Chair = 0.1 Clo,CLO,--
19,PERSONAL CHARACTERISTICS,Min. Accept. Sensation (right now),Daily Surveys,Discrete,Coldest acceptable thermal sensation at that moment on ASH scale,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
20,PERSONAL CHARACTERISTICS,Med. Accept. Sensation (right now),Daily Surveys,Discrete,Median of thermally acceptable sensation range on ASH scale,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
21,PERSONAL CHARACTERISTICS,Max. Accept. Sensation (right now),Daily Surveys,Discrete,Warmest acceptable thermal sensation at that moment on ASH scale,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
22,PERSONAL CHARACTERISTICS,Min. Accept (seasonal median),Daily Surveys,Discrete,Median of min. acceptable sensations reported across each season,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
23,PERSONAL CHARACTERISTICS,Med. Accept (seasonal median),Daily Surveys,Discrete,Median of the median acceptable sensations reported across each season,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
24,PERSONAL CHARACTERISTICS,Max. Accept (seasonal median),Daily Surveys,Discrete,Median of  max. acceptable sensations reported across each season,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
25,PERSONAL CHARACTERISTICS,Thermal Preference (right now),Daily Surveys,Discrete,Desired thermal sensation at that moment,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
26,PERSONAL CHARACTERISTICS,Gender,Background Survey,Discrete,--,--,1=Male ; 2 = Female
27,PERSONAL CHARACTERISTICS,Age,Background Survey,Discrete,--,Years,--
28,PERSONAL CHARACTERISTICS,Office Type,Background Survey,Discrete,--,--,1=Private Office (Single) ; 2 = Private Office (Shared) ; 3 = Cubicle; 4 = Open Desk ; 5 = Public Area (i.e. lobby)
29,PERSONAL CHARACTERISTICS,Floor Number,Background Survey,Discrete,--,--,1 = Basement ; 2 = Ground Floor; 3 = 2nd Floor; 4 = 3rd Floor
30,PERSONAL CHARACTERISTICS,Location on Floor Plan,Background Survey,Discrete,--,--,1 = Core ; 2 = Perimeter
31,PERSONAL CHARACTERISTICS,Min. Accept. Sensation (summer),Background Survey,Discrete,Coldest thermal sensation generally acceptable in SUMMER,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
32,PERSONAL CHARACTERISTICS,Min. Accept. Sensation (winter),Background Survey,Discrete,Coldest thermal sensation generally acceptable in WINTER,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
33,PERSONAL CHARACTERISTICS,Med. Accept. Sensation (summer),Background Survey,Discrete,Median of thermal acceptability range reported for SUMMER,--,"ASHRAE 7 point scale (-3 = ""Cold"" to +3 = ""Warm"", where 0 = ""Neutral"")"
